partition,trial,training_accuracy,testing_accuracy,cv_score,best_parameters
20/80,1,0.9261867184654607,0.8773633577129677,0.8760464009290206,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 150}"
20/80,2,0.922666019181741,0.8750872507662893,0.8772607300122022,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}"
20/80,3,0.92023795071021,0.8786076295104852,0.8751976232160856,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}"
50/50,1,0.901039137612897,0.8762260852675536,0.872583831592918,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 150}"
50/50,2,0.8985626881616005,0.8680683694279887,0.8715642963270579,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 150}"
50/50,3,0.9017675050985724,0.8738467514810139,0.871516000255158,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 150}"
80/20,1,0.8894688922610016,0.8756979849478028,0.8691957511380879,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}"
80/20,2,0.8893474962063733,0.8651371692158291,0.8697116843702579,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 150}"
80/20,3,0.8910470409711685,0.8701141053653799,0.8694081942336874,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 150}"
